Model,Fold,Epoch,TrainAcc,ValAcc
MiniUNet,0,1,0.7225625,0.9078333333333334
MiniUNet,0,2,0.9245416666666667,0.9366666666666666
MiniUNet,0,3,0.9459166666666666,0.9434166666666667
MiniUNet,0,4,0.9539375,0.94625
MiniUNet,0,5,0.9595208333333334,0.9416666666666667
MiniUNet,1,1,0.7465,0.9024166666666666
MiniUNet,1,2,0.9283125,0.9369166666666666
MiniUNet,1,3,0.9466458333333333,0.9511666666666667
MiniUNet,1,4,0.9532083333333333,0.9435
MiniUNet,1,5,0.9558541666666667,0.95275
MiniUNet,2,1,0.7700625,0.9108333333333334
MiniUNet,2,2,0.9310833333333334,0.9219166666666667
MiniUNet,2,3,0.9463125,0.9515
MiniUNet,2,4,0.9513541666666666,0.9578333333333333
MiniUNet,2,5,0.9571041666666666,0.9503333333333334
MiniUNet,3,1,0.7417083333333333,0.86075
MiniUNet,3,2,0.9219375,0.94025
MiniUNet,3,3,0.9428125,0.9368333333333333
MiniUNet,3,4,0.9518541666666667,0.95375
MiniUNet,3,5,0.9563541666666666,0.95
MiniUNet,4,1,0.7312083333333333,0.8994166666666666
MiniUNet,4,2,0.9209166666666667,0.9379166666666666
MiniUNet,4,3,0.9398333333333333,0.9413333333333334
MiniUNet,4,4,0.9509791666666667,0.9570833333333333
MiniUNet,4,5,0.9565,0.9554166666666667
