Model,Epoch,TrainLoss,ValLoss
PCA_MLP,0,10.877803802490234,10.450508117675781
PCA_MLP,1,10.660179138183594,11.39419174194336
PCA_MLP,2,10.24596881866455,10.769848823547363
PCA_MLP,3,11.718510627746582,10.40160846710205
PCA_MLP,4,10.175512313842773,10.934331893920898
PCA_MLP,5,10.763416290283203,10.969282150268555
PCA_MLP,6,11.250229835510254,11.174696922302246
PCA_MLP,7,10.017415046691895,10.883430480957031
PCA_MLP,8,10.192902565002441,11.316423416137695
PCA_MLP,9,10.458271026611328,11.707544326782227
PCA_MLP,10,11.053261756896973,10.741466522216797
PCA_MLP,11,11.762871742248535,11.285512924194336
PCA_MLP,12,10.88621711730957,10.429692268371582
PCA_MLP,13,11.390423774719238,10.384730339050293
PCA_MLP,14,11.3190279006958,11.009937286376953
PCA_MLP,15,10.10628604888916,10.326238632202148
PCA_MLP,16,10.835309982299805,10.77027702331543
PCA_MLP,17,10.399293899536133,11.535055160522461
PCA_MLP,18,10.538604736328125,10.303990364074707
PCA_MLP,19,10.771509170532227,11.497314453125
PCA_MLP,20,10.18571949005127,10.850845336914062
PCA_MLP,21,10.674269676208496,10.326925277709961
PCA_MLP,22,10.998627662658691,11.255054473876953
PCA_MLP,23,10.26002311706543,11.169549942016602
PCA_MLP,24,11.687950134277344,10.613259315490723
PCA_MLP,25,10.533916473388672,9.828704833984375
PCA_MLP,26,10.902345657348633,11.237404823303223
PCA_MLP,27,10.841968536376953,11.285991668701172
PCA_MLP,28,11.85596752166748,11.082545280456543
PCA_MLP,29,10.177871704101562,11.51179313659668
PCA_MLP,30,10.43497371673584,11.346095085144043
PCA_MLP,31,10.196125984191895,11.215717315673828
PCA_MLP,32,11.144155502319336,11.670045852661133
PCA_MLP,33,10.672979354858398,10.748370170593262
PCA_MLP,34,11.18429183959961,10.237163543701172
PCA_MLP,35,10.581560134887695,11.241150856018066
PCA_MLP,36,11.07563304901123,11.46657943725586
PCA_MLP,37,10.336761474609375,10.532760620117188
PCA_MLP,38,10.980649948120117,11.011592864990234
PCA_MLP,39,10.680317878723145,10.444228172302246
PCA_MLP,40,11.149056434631348,10.326454162597656
PCA_MLP,41,11.111343383789062,10.769735336303711
PCA_MLP,42,10.494987487792969,10.7374267578125
PCA_MLP,43,10.951574325561523,11.189992904663086
PCA_MLP,44,11.373926162719727,10.281518936157227
PCA_MLP,45,10.988164901733398,10.680429458618164
PCA_MLP,46,11.425765037536621,10.73194694519043
PCA_MLP,47,10.687713623046875,10.678077697753906
PCA_MLP,48,10.794293403625488,10.234824180603027
PCA_MLP,49,10.947942733764648,11.135486602783203
PCA_MLP,50,11.239025115966797,10.987576484680176
PCA_MLP,51,10.549527168273926,10.264744758605957
PCA_MLP,52,10.910364151000977,11.129461288452148
PCA_MLP,53,11.47365665435791,11.566177368164062
PCA_MLP,54,11.578315734863281,11.560062408447266
PCA_MLP,55,10.417194366455078,11.764820098876953
PCA_MLP,56,10.531427383422852,10.306406021118164
PCA_MLP,57,11.37514877319336,10.451086044311523
PCA_MLP,58,10.513643264770508,10.787199020385742
PCA_MLP,59,10.550174713134766,11.25844955444336
PCA_MLP,60,10.187480926513672,10.472176551818848
PCA_MLP,61,11.038063049316406,10.430741310119629
PCA_MLP,62,10.542774200439453,10.417123794555664
PCA_MLP,63,10.711320877075195,10.76623821258545
