Model,Epoch,TrainLoss,ValLoss
MiniUNet,0,12678.1865234375,1381.9129638671875
MiniUNet,1,1381.77734375,1303.7945556640625
MiniUNet,2,1317.173583984375,1289.653076171875
MiniUNet,3,1296.0977783203125,1286.3148193359375
MiniUNet,4,1290.1693115234375,1285.5113525390625
MiniUNet,5,1305.0294189453125,1303.67529296875
MiniUNet,6,1308.4923095703125,1302.840087890625
MiniUNet,7,1303.8267822265625,1306.08251953125
MiniUNet,8,1289.006591796875,1301.773681640625
MiniUNet,9,1292.967041015625,1278.0997314453125
MiniUNet,10,1279.614501953125,1265.348388671875
MiniUNet,11,1281.3267822265625,1283.93212890625
MiniUNet,12,1288.727294921875,1281.2420654296875
MiniUNet,13,1277.7276611328125,1281.1517333984375
MiniUNet,14,1279.6815185546875,1284.72216796875
MiniUNet,15,1277.7275390625,1265.8955078125
MiniUNet,16,1278.4920654296875,1269.7587890625
MiniUNet,17,1266.2685546875,1261.6585693359375
MiniUNet,18,1273.047119140625,1252.5687255859375
MiniUNet,19,1262.832763671875,1257.5975341796875
MiniUNet,20,1248.34716796875,1257.081298828125
MiniUNet,21,1255.07568359375,1250.6585693359375
MiniUNet,22,1254.0667724609375,1252.5780029296875
MiniUNet,23,1261.4056396484375,1257.1767578125
MiniUNet,24,1256.6990966796875,1256.0577392578125
MiniUNet,25,1249.6697998046875,1248.783203125
MiniUNet,26,1242.1256103515625,1252.5450439453125
MiniUNet,27,1255.9935302734375,1242.4171142578125
MiniUNet,28,1243.7783203125,1264.2080078125
MiniUNet,29,1246.893310546875,1255.0250244140625
MiniUNet,30,1237.069091796875,1243.891845703125
MiniUNet,31,1240.880859375,1254.8341064453125
MiniUNet,32,1254.018798828125,1254.8348388671875
MiniUNet,33,1237.4725341796875,1237.2423095703125
MiniUNet,34,1247.86279296875,1253.08984375
MiniUNet,35,1247.9737548828125,1246.27001953125
MiniUNet,36,1248.3408203125,1237.0498046875
MiniUNet,37,1241.049560546875,1231.81884765625
MiniUNet,38,1238.600830078125,1239.1904296875
MiniUNet,39,1230.965087890625,1224.51220703125
MiniUNet,40,1225.3826904296875,1242.429443359375
MiniUNet,41,1242.011474609375,1247.841552734375
MiniUNet,42,1233.6649169921875,1234.8775634765625
MiniUNet,43,1230.5477294921875,1229.53857421875
MiniUNet,44,1234.745849609375,1228.01171875
MiniUNet,45,1234.05859375,1224.27197265625
MiniUNet,46,1236.90185546875,1232.947265625
MiniUNet,47,1237.2452392578125,1233.018310546875
MiniUNet,48,1231.4798583984375,1227.6610107421875
MiniUNet,49,1227.2451171875,1238.84228515625
MiniUNet,50,1229.4935302734375,1234.38134765625
MiniUNet,51,1230.981689453125,1221.3480224609375
MiniUNet,52,1231.9058837890625,1223.360107421875
MiniUNet,53,1223.157470703125,1225.3800048828125
MiniUNet,54,1229.7069091796875,1232.3017578125
MiniUNet,55,1221.9923095703125,1229.5235595703125
MiniUNet,56,1222.2235107421875,1233.8780517578125
MiniUNet,57,1222.9315185546875,1233.7550048828125
MiniUNet,58,1225.447021484375,1222.9068603515625
MiniUNet,59,1235.507568359375,1217.057861328125
MiniUNet,60,1227.3360595703125,1224.2410888671875
MiniUNet,61,1221.898193359375,1226.4698486328125
MiniUNet,62,1219.552001953125,1224.649169921875
MiniUNet,63,1226.7950439453125,1225.19580078125
MiniUNet,64,1228.7725830078125,1219.34228515625
MiniUNet,65,1225.2548828125,1228.248779296875
MiniUNet,66,1224.049560546875,1219.762939453125
MiniUNet,67,1230.422607421875,1214.68359375
